review,sentiment
tried watch adaptation awful torture like performance quite sub par exception ariel fonda way top role handled subtlety studied shakespeare seen many adaptation far worst one ever seen wonder earth someone made film shakespeare beautifully adapted many case one must watch film may suggest drinking game take drink every time go book original idea two drink every time fonda overacts quite drunk short time,0
really wanted like pillow book intriguing story interesting character outline ewan macgregor utterly glorious altogether unfortunately hated every minute greenaway got enamoured presenting movie uniquely film benefit even get vivian wu abysmal acting br br get distracted story billion teeny window calligraphy roll bottom screen displaying lyric music playing seems lost sight presenting actual story developing plot got entangled foo foo embellishment nothing anything bit like presenting john singer sargeant portrait chintzy hallmark frame say grandma love big sparkly letter br br movie seems casualty director auteur ego instead could disturbingly horrifyingly beautiful another director hand jeunet coppola could masterpiece greenaway hand best relegated fine art class also take seriously,0
like bad film thing steaming heap shaky cameraman horrible sound devastating acting waste second pile fifth grader could made better film first grader could written better script want real synopsis ugly chick neon bikini dancing way long disjointed plot made worse hideous acting location set even passable church scene take place dance studio oh yeah two tap dance number come blue br br oh total number naked breast even saved film add one trash heap,0
film opened back legend met massive jeering disdain widely considered failure vividly remember ebert giving one star supposedly booed cannes br br apparently people understand movie hard comprehend since esoteric dark layered way still astound reading many review find even viewing year many element film previously glossed even without understanding much psychological underpinnings story still cracking suspenser even take escalating paranoia persecution overtakes polanski title character like tsunami wave course two hour running time br br examining source material excellent novella underrated novelist roland topor uncovers intriguing layer polanski trekovsky milquetoast highest order though seems first yet another mild everyday soul one gradually realizes one people seems aimlessly drift life letting direct seems strong feeling like dislike find gently pushed way never seems get bent shape regardless vague sort wishy washy ness noticeable novel movie hint early film br br making play apartment woman one mademouiselle choule hospital recovering recent suicide attempt appears daring thing attempted even effectively haggling price deposit bargain soon find however paying good thing way care find center maelstrom created building full neurotic control freak hypersensitive even slightest sign human life footstep night knock door br br instead taking stand though trelkovsky becomes increasingly alienated situation overtaken paranoia sense persecution becomes obsessed choule imagining like dressing like etc personality rapidly begin wiped away insanity br br anyone ever doubted polanski fearlessness artist well advised see film trademark black humor prominently sometimes embarrassingly display god bless make butt tour de force performance one richest riskiest gothic horror movie ever made people seen true crime,1
cannibal intrigued title real cannibal appeal film let instead shown strange man visiting papua new guinea village full native one lover several decade prior man tobias schneebaum new york jewish come somehow intertwined documentary appears yamika several scene br br real cannibal story relayed native tobias together bad film interesting great cinematography schneebaum remains highly likable throughout provides u fascinating glimpse life far removed western civilization one get br br claim cover plot summary br br kid,0
avid jane austen fan many year never seen adaptation heard came read excellent review basis eagerly ordered netflix cruel disappointment taken one subtle bright comic novel made dull character seems dealt single facial expression single tone upon base flat character although adaptation seems used every word jane austen wrote appear passed around character random fashion even though done miniseries adaptation manages confuse feel rushed done movie week br br mr bennett harsh mr bennet chattering chipmunk mr darcy lifeless nutcracker bennett girl almost indistinguishable mr wickham man one would look twice hardly appealing cad quite put,0
jon cryer reprises role neurotic guy two half men perfected series longs good relationship girl like coworker developed tet tet partner girlfriend best friend pretty funny realize attracted start dating one funniest line tv ever think final episode partner discussing want propose girl br br partner prepares moment suggesting worst happen say br br armed newfound optimism proposes date dinner reply br br god br br laughed hard cried,1
movie called plan joseph smith think weirdness underappreciated playwright seems read paul ehrlich population bomb crafted musical response made especially mormon whole point play many child part heavenly father god plan anything stand way baby bad get br br version filmed confusing utah look feel like play actually written course theology part part battlestar galactica action take place earth pre existence aimless romper room annoying kid wait get body come try slam door missionary losing shot celestial glory br br stagey come let poor theatrics spoil appreciation demented mormon universe cool kid population control presumably counseling parent child big family time play written cultural norm lds community importantly considered part god plan church since done made family planning choice parent large family much less cultural norm making entire doctrinal premise movie modern day mormon moot br br ahhh really good music catchy tune let movie die death pre destined brother sister sing love song make wonder maybe something else going wink tough cool kid make new kid block look like metallica cheer gather family around make jell shooter enjoy show br br,0
humphrey bogart clearly want film forced play part mexican would suspended believe made wrong choice presumably success dodge city warner tried follow errol flynn usual list buddy like alan hale guinn big boy williams frank mc hugh ever present john litel made huge mistake trying present miriam hopkins love interest flynn v randolph scott singer really make thing bad proved one thing cannot sing story bad bogie clearly miscast also turned poor western overlong low budget fairness color would helped,0
indian burial ground three word appear anywhere real estate listing look different neighborhood young couple young daughter toddler age son move maine house adjacent pet cemetery l ng hike ancient indian burial ground seems indian ground bring fido fluffy back dead mind raving hell beast pet dead people mind homicidal zombie around house br br throw busy two lane blacktop speeding big rig well meaning somewhat dim old neighbor one kid really get enough supervision think figure happens top illogical mess fairness offer scare br br well worse stephen king adaptation maximum overdrive king also directed far better one salem lot dead zone version shining,0
